source target L0
3 4 1
3 17 1
3 18 1
3 42 1
4 18 1
4 42 1
17 10 1
17 15 1
17 18 1
18 3 1
18 10 1
18 15 1
18 17 1
18 26 1
42 40 1
42 41 1
42 67 1
10 18 1
10 49 1
10 51 1
10 52 1
49 46 1
49 51 1
49 52 1
49 67 1
51 46 1
51 47 1
51 49 1
51 52 1
51 67 1
52 49 1
52 51 1
15 17 1
15 40 1
15 42 1
40 15 1
40 41 1
40 42 1
40 67 1
26 17 1
26 36 1
26 39 1
25 31 1
25 34 1
25 35 1
25 39 1
25 40 1
25 41 1
31 25 1
31 32 1
31 42 1
31 61 1
34 29 1
34 47 1
35 31 1
35 32 1
35 41 1
35 42 1
39 34 1
39 36 1
41 35 1
41 40 1
41 42 1
41 67 1
36 30 1
36 39 1
29 34 1
29 47 1
47 29 1
47 49 1
47 51 1
47 52 1
30 36 1
30 39 1
32 35 1
32 40 1
32 41 1
32 42 1
61 59 1
61 64 1
67 30 1
67 60 1
67 61 1
67 64 1
43 46 1
46 43 1
46 47 1
46 51 1
46 52 1
57 60 1
57 64 1
60 57 1
60 64 1
64 59 1
64 61 1
64 67 1
59 57 1
59 60 1
59 61 1
59 64 1
