source target L0
0 51 1
0 122 1
0 123 1
0 148 1
0 151 1
0 158 1
0 169 1
0 176 1
0 211 1
0 248 1
1 8 1
1 11 1
1 25 1
1 61 1
1 71 1
1 85 1
1 101 1
1 114 1
1 117 1
1 234 1
2 22 1
2 37 1
2 43 1
2 61 1
2 62 1
2 63 1
2 93 1
2 115 1
3 11 1
3 23 1
3 29 1
3 42 1
3 54 1
3 66 1
3 68 1
3 74 1
3 90 1
3 97 1
3 104 1
3 105 1
3 106 1
3 153 1
4 7 1
4 17 1
4 22 1
4 31 1
4 34 1
4 35 1
4 59 1
4 70 1
4 153 1
4 227 1
5 8 1
5 23 1
5 34 1
5 39 1
5 51 1
5 61 1
5 66 1
5 92 1
5 96 1
5 103 1
6 8 1
6 19 1
6 23 1
6 26 1
6 49 1
6 67 1
6 70 1
6 78 1
6 85 1
6 109 1
6 118 1
6 160 1
7 4 1
7 43 1
7 45 1
7 52 1
7 67 1
7 96 1
7 124 1
8 5 1
8 24 1
8 32 1
8 45 1
8 47 1
8 51 1
8 76 1
8 90 1
8 111 1
9 14 1
9 30 1
9 39 1
9 67 1
9 216 1
10 1 1
10 27 1
10 29 1
10 43 1
10 48 1
10 49 1
10 50 1
10 58 1
10 91 1
10 101 1
10 221 1
11 1 1
11 2 1
11 3 1
11 53 1
11 60 1
11 62 1
11 243 1
12 3 1
12 23 1
12 29 1
12 39 1
12 47 1
12 59 1
12 64 1
12 68 1
12 75 1
12 104 1
12 110 1
12 115 1
12 120 1
12 238 1
13 2 1
13 10 1
13 15 1
13 113 1
14 28 1
14 38 1
14 54 1
14 97 1
14 105 1
14 138 1
14 178 1
14 179 1
15 13 1
15 75 1
15 97 1
15 102 1
15 123 1
15 228 1
15 230 1
15 239 1
16 61 1
16 94 1
16 123 1
16 130 1
16 136 1
16 144 1
16 158 1
16 182 1
16 183 1
16 192 1
16 194 1
16 195 1
16 207 1
16 220 1
17 19 1
17 38 1
17 47 1
17 88 1
17 98 1
17 118 1
17 243 1
18 7 1
18 14 1
18 29 1
18 43 1
18 46 1
18 55 1
18 60 1
18 64 1
18 85 1
18 109 1
18 119 1
19 17 1
19 21 1
19 31 1
19 46 1
19 61 1
19 67 1
19 83 1
19 90 1
19 98 1
19 99 1
19 117 1
20 6 1
20 12 1
20 18 1
20 38 1
20 41 1
20 54 1
20 56 1
20 61 1
20 69 1
20 73 1
20 79 1
20 80 1
20 107 1
20 240 1
20 243 1
21 15 1
21 19 1
21 37 1
21 39 1
21 44 1
21 49 1
21 55 1
21 61 1
21 75 1
21 76 1
21 85 1
21 87 1
21 93 1
21 105 1
21 114 1
21 124 1
21 125 1
21 141 1
22 2 1
22 15 1
22 52 1
22 68 1
22 71 1
22 84 1
22 86 1
22 90 1
22 117 1
22 200 1
23 3 1
23 11 1
23 25 1
23 45 1
23 47 1
23 64 1
23 71 1
23 73 1
23 82 1
23 83 1
23 93 1
23 106 1
23 109 1
23 116 1
23 125 1
23 126 1
23 243 1
24 5 1
24 44 1
24 54 1
24 55 1
24 66 1
24 81 1
24 101 1
24 124 1
24 157 1
24 197 1
24 218 1
25 1 1
25 23 1
25 58 1
25 63 1
25 68 1
25 78 1
25 87 1
25 97 1
25 105 1
25 126 1
25 178 1
26 29 1
26 38 1
26 87 1
26 93 1
26 103 1
26 243 1
27 3 1
27 10 1
27 75 1
27 78 1
27 105 1
27 124 1
27 125 1
27 140 1
28 3 1
28 7 1
28 36 1
28 44 1
28 55 1
28 63 1
28 69 1
28 73 1
28 90 1
29 3 1
29 12 1
29 61 1
29 63 1
29 74 1
29 84 1
29 141 1
29 184 1
29 246 1
30 4 1
30 9 1
30 17 1
30 25 1
30 59 1
30 65 1
30 75 1
30 96 1
30 107 1
30 110 1
30 118 1
30 166 1
30 167 1
30 172 1
31 4 1
31 19 1
31 55 1
31 72 1
31 85 1
31 96 1
31 106 1
32 52 1
32 55 1
32 64 1
32 66 1
32 87 1
32 120 1
32 164 1
32 233 1
33 107 1
33 122 1
33 123 1
33 132 1
33 164 1
33 166 1
33 194 1
33 212 1
33 220 1
33 234 1
33 239 1
33 242 1
33 247 1
34 4 1
34 5 1
34 14 1
34 50 1
34 66 1
34 87 1
34 116 1
35 4 1
35 12 1
35 37 1
35 66 1
35 74 1
35 76 1
35 88 1
35 93 1
35 101 1
35 108 1
35 121 1
36 20 1
36 52 1
36 66 1
36 74 1
36 79 1
36 84 1
36 85 1
36 140 1
37 2 1
37 70 1
37 74 1
37 93 1
37 101 1
38 14 1
38 17 1
38 26 1
38 45 1
38 55 1
38 71 1
38 95 1
38 103 1
38 107 1
38 129 1
38 141 1
38 162 1
38 197 1
39 12 1
39 14 1
39 29 1
39 35 1
39 45 1
39 54 1
39 76 1
39 115 1
39 119 1
39 126 1
40 55 1
40 57 1
40 73 1
40 79 1
40 83 1
40 100 1
40 112 1
40 116 1
41 20 1
41 44 1
41 48 1
41 62 1
41 105 1
41 109 1
41 197 1
41 198 1
41 215 1
42 3 1
42 27 1
42 29 1
42 37 1
42 57 1
42 104 1
42 111 1
43 2 1
43 7 1
43 10 1
43 18 1
43 20 1
43 37 1
43 61 1
43 81 1
43 90 1
43 108 1
43 126 1
44 21 1
44 24 1
44 40 1
44 52 1
44 66 1
44 68 1
44 69 1
44 114 1
44 120 1
44 211 1
44 212 1
45 8 1
45 23 1
45 38 1
45 39 1
45 46 1
45 81 1
45 110 1
45 125 1
46 29 1
46 44 1
46 50 1
46 53 1
46 62 1
46 97 1
46 101 1
46 102 1
46 179 1
47 8 1
47 17 1
47 38 1
47 43 1
47 44 1
47 49 1
47 60 1
47 80 1
47 83 1
47 92 1
47 103 1
47 104 1
47 114 1
48 8 1
48 10 1
48 19 1
48 41 1
48 97 1
48 104 1
48 106 1
48 157 1
49 5 1
49 10 1
49 21 1
49 56 1
49 57 1
49 101 1
49 243 1
50 10 1
50 46 1
50 63 1
50 72 1
50 73 1
50 92 1
50 107 1
50 109 1
50 115 1
50 124 1
50 140 1
50 246 1
51 0 1
51 8 1
51 68 1
51 80 1
51 84 1
51 93 1
51 102 1
51 157 1
52 10 1
52 32 1
52 36 1
52 44 1
52 93 1
52 108 1
52 124 1
53 11 1
53 22 1
53 44 1
53 51 1
53 67 1
53 84 1
53 105 1
53 109 1
54 3 1
54 8 1
54 14 1
54 20 1
54 24 1
54 26 1
54 34 1
54 39 1
54 55 1
54 62 1
54 74 1
54 90 1
54 100 1
54 111 1
55 6 1
55 21 1
55 24 1
55 32 1
55 38 1
55 56 1
55 70 1
55 84 1
55 87 1
55 92 1
55 102 1
55 105 1
55 107 1
55 110 1
55 166 1
55 218 1
56 20 1
56 48 1
56 49 1
56 55 1
56 73 1
56 76 1
56 83 1
56 84 1
56 85 1
56 94 1
56 96 1
56 105 1
56 197 1
57 34 1
57 40 1
57 42 1
57 45 1
57 59 1
57 74 1
57 82 1
57 83 1
57 141 1
57 197 1
57 200 1
58 10 1
58 25 1
58 32 1
58 56 1
58 65 1
58 68 1
58 71 1
58 81 1
58 84 1
58 92 1
58 95 1
58 110 1
58 116 1
58 118 1
58 237 1
59 4 1
59 22 1
59 65 1
59 67 1
59 76 1
59 100 1
59 101 1
60 1 1
60 11 1
60 38 1
60 47 1
60 65 1
60 76 1
60 78 1
60 87 1
60 90 1
60 120 1
60 174 1
61 1 1
61 2 1
61 20 1
61 21 1
61 54 1
61 55 1
61 59 1
61 74 1
61 75 1
61 101 1
61 116 1
61 156 1
62 2 1
62 14 1
62 25 1
62 46 1
62 54 1
62 70 1
62 71 1
62 74 1
62 75 1
62 76 1
62 90 1
62 96 1
62 103 1
62 108 1
62 168 1
62 206 1
62 209 1
63 25 1
63 28 1
63 45 1
63 64 1
63 87 1
63 92 1
63 106 1
63 140 1
63 228 1
63 249 1
64 7 1
64 18 1
64 24 1
64 52 1
64 63 1
64 73 1
64 110 1
64 111 1
65 4 1
65 5 1
65 27 1
65 30 1
65 49 1
65 50 1
65 58 1
65 60 1
65 73 1
65 81 1
65 82 1
65 85 1
65 107 1
66 3 1
66 24 1
66 35 1
66 83 1
66 85 1
66 87 1
66 104 1
66 111 1
66 117 1
67 3 1
67 7 1
67 19 1
67 43 1
67 53 1
67 54 1
67 59 1
67 69 1
67 75 1
67 94 1
67 112 1
67 141 1
67 197 1
68 5 1
68 25 1
68 27 1
68 44 1
68 51 1
68 53 1
68 65 1
68 76 1
68 80 1
68 95 1
68 98 1
68 105 1
68 112 1
68 157 1
68 197 1
69 5 1
69 19 1
69 20 1
69 29 1
69 44 1
69 50 1
69 67 1
69 80 1
69 93 1
69 96 1
69 197 1
69 210 1
69 243 1
70 4 1
70 6 1
70 41 1
70 71 1
70 72 1
70 73 1
70 75 1
70 91 1
70 113 1
70 125 1
71 2 1
71 38 1
71 62 1
71 64 1
71 110 1
71 140 1
72 31 1
72 48 1
72 70 1
72 75 1
72 80 1
72 88 1
72 91 1
72 103 1
72 108 1
72 110 1
72 124 1
72 134 1
72 139 1
73 23 1
73 27 1
73 40 1
73 50 1
73 56 1
73 64 1
73 65 1
73 69 1
73 76 1
73 90 1
73 95 1
73 105 1
73 115 1
74 3 1
74 29 1
74 35 1
74 36 1
74 57 1
74 73 1
74 90 1
74 133 1
74 197 1
75 12 1
75 15 1
75 27 1
75 30 1
75 34 1
75 36 1
75 61 1
75 62 1
75 70 1
75 95 1
75 98 1
75 105 1
76 8 1
76 21 1
76 39 1
76 56 1
76 59 1
76 60 1
76 62 1
76 68 1
76 81 1
76 100 1
76 121 1
76 164 1
76 179 1
77 57 1
77 180 1
77 184 1
77 230 1
78 3 1
78 6 1
78 22 1
78 91 1
78 94 1
78 98 1
78 101 1
78 106 1
78 108 1
78 149 1
79 15 1
79 36 1
79 40 1
79 62 1
79 80 1
79 84 1
79 93 1
79 96 1
79 98 1
79 115 1
79 143 1
79 158 1
79 179 1
80 51 1
80 68 1
80 69 1
80 72 1
80 86 1
80 114 1
80 181 1
80 200 1
81 24 1
81 43 1
81 45 1
81 76 1
81 84 1
81 97 1
81 102 1
82 12 1
82 20 1
82 23 1
82 47 1
82 49 1
82 57 1
82 65 1
82 85 1
82 97 1
82 110 1
82 119 1
83 23 1
83 28 1
83 40 1
83 58 1
83 107 1
83 160 1
84 11 1
84 22 1
84 44 1
84 55 1
84 56 1
84 79 1
84 80 1
84 81 1
84 117 1
84 124 1
85 1 1
85 21 1
85 31 1
85 53 1
85 65 1
85 66 1
85 91 1
85 111 1
85 157 1
85 240 1
86 22 1
86 32 1
86 68 1
86 80 1
86 83 1
86 113 1
86 128 1
86 183 1
86 210 1
87 5 1
87 21 1
87 26 1
87 50 1
87 63 1
87 66 1
87 71 1
87 82 1
87 114 1
87 116 1
87 118 1
88 72 1
88 100 1
88 127 1
88 129 1
88 151 1
88 167 1
88 171 1
88 180 1
88 182 1
88 184 1
88 198 1
88 241 1
88 249 1
89 136 1
89 143 1
89 144 1
89 151 1
89 154 1
89 176 1
89 182 1
89 188 1
89 196 1
89 217 1
90 3 1
90 6 1
90 8 1
90 22 1
90 28 1
90 45 1
90 54 1
90 60 1
90 62 1
90 73 1
90 91 1
90 98 1
90 103 1
90 153 1
91 10 1
91 39 1
91 85 1
91 111 1
91 234 1
92 5 1
92 29 1
92 46 1
92 47 1
92 55 1
92 58 1
92 71 1
92 96 1
92 101 1
92 115 1
92 125 1
93 2 1
93 10 1
93 21 1
93 23 1
93 26 1
93 35 1
93 43 1
93 51 1
93 52 1
93 79 1
93 85 1
93 99 1
93 100 1
93 102 1
93 112 1
94 15 1
94 49 1
94 56 1
94 143 1
94 240 1
95 20 1
95 22 1
95 56 1
95 58 1
95 68 1
95 75 1
95 83 1
95 112 1
95 124 1
95 228 1
96 5 1
96 7 1
96 8 1
96 30 1
96 40 1
96 49 1
96 60 1
96 69 1
96 92 1
96 106 1
96 179 1
97 10 1
97 14 1
97 25 1
97 46 1
97 48 1
97 55 1
97 62 1
97 81 1
97 82 1
97 102 1
97 171 1
98 17 1
98 24 1
98 46 1
98 68 1
98 75 1
98 78 1
98 79 1
98 104 1
98 105 1
98 120 1
98 153 1
99 12 1
99 19 1
99 35 1
99 36 1
99 93 1
99 95 1
99 101 1
99 104 1
100 8 1
100 54 1
100 76 1
100 93 1
100 96 1
100 102 1
100 104 1
100 112 1
100 113 1
101 24 1
101 32 1
101 35 1
101 37 1
101 69 1
101 78 1
101 126 1
102 3 1
102 15 1
102 24 1
102 51 1
102 55 1
102 76 1
102 81 1
102 97 1
102 109 1
102 111 1
102 114 1
102 124 1
102 125 1
103 26 1
103 38 1
103 90 1
103 102 1
103 249 1
104 3 1
104 12 1
104 18 1
104 42 1
104 43 1
104 49 1
104 57 1
104 66 1
104 98 1
104 214 1
105 3 1
105 25 1
105 27 1
105 53 1
105 55 1
105 69 1
105 73 1
105 75 1
105 78 1
105 121 1
105 243 1
106 26 1
106 48 1
106 63 1
106 78 1
106 96 1
106 99 1
107 20 1
107 46 1
107 48 1
107 50 1
107 79 1
107 93 1
107 111 1
108 35 1
108 43 1
108 52 1
108 62 1
108 72 1
108 90 1
108 154 1
108 157 1
108 168 1
108 189 1
109 6 1
109 18 1
109 23 1
109 48 1
109 50 1
109 82 1
109 91 1
109 125 1
109 206 1
110 14 1
110 30 1
110 50 1
110 55 1
110 58 1
110 71 1
110 72 1
110 82 1
110 106 1
111 8 1
111 48 1
111 56 1
111 64 1
111 66 1
111 76 1
111 85 1
111 88 1
111 91 1
111 102 1
111 107 1
111 120 1
111 141 1
112 11 1
112 19 1
112 44 1
112 60 1
112 67 1
112 68 1
112 73 1
112 93 1
112 109 1
112 110 1
113 13 1
113 70 1
113 122 1
113 136 1
113 173 1
113 193 1
114 1 1
114 19 1
114 37 1
114 44 1
114 49 1
114 72 1
114 90 1
114 102 1
114 124 1
114 189 1
114 226 1
114 246 1
115 12 1
115 34 1
115 44 1
115 142 1
115 158 1
116 10 1
116 23 1
116 28 1
116 34 1
116 58 1
116 61 1
116 64 1
116 67 1
116 74 1
116 87 1
116 121 1
116 126 1
116 127 1
116 234 1
117 1 1
117 19 1
117 41 1
117 66 1
117 92 1
117 108 1
117 194 1
118 6 1
118 17 1
118 30 1
118 58 1
118 59 1
118 63 1
118 87 1
118 157 1
118 240 1
119 3 1
119 18 1
119 39 1
119 197 1
120 10 1
120 31 1
120 32 1
120 48 1
120 60 1
120 93 1
120 98 1
120 111 1
120 122 1
120 126 1
120 177 1
120 206 1
121 10 1
121 29 1
121 35 1
121 49 1
121 75 1
121 76 1
121 102 1
121 116 1
121 243 1
121 246 1
122 4 1
122 58 1
122 87 1
122 96 1
122 109 1
122 120 1
122 143 1
122 153 1
122 179 1
122 206 1
122 234 1
123 0 1
123 127 1
123 143 1
123 165 1
123 167 1
123 168 1
123 181 1
123 194 1
123 195 1
123 198 1
123 199 1
123 201 1
123 210 1
123 211 1
123 212 1
123 219 1
123 228 1
123 249 1
124 7 1
124 10 1
124 20 1
124 21 1
124 27 1
124 46 1
124 50 1
124 52 1
124 72 1
124 73 1
124 84 1
124 102 1
125 18 1
125 23 1
125 26 1
125 27 1
125 92 1
125 102 1
125 109 1
125 124 1
125 166 1
125 249 1
126 6 1
126 9 1
126 17 1
126 23 1
126 25 1
126 39 1
126 40 1
126 43 1
126 75 1
126 78 1
126 93 1
126 111 1
126 116 1
126 124 1
127 88 1
127 123 1
127 135 1
127 136 1
127 138 1
127 142 1
127 165 1
127 181 1
127 187 1
127 205 1
127 211 1
127 224 1
127 235 1
128 86 1
128 106 1
128 122 1
128 134 1
128 137 1
128 138 1
128 147 1
128 194 1
128 202 1
128 205 1
128 223 1
128 224 1
129 9 1
129 88 1
129 92 1
129 146 1
129 185 1
129 193 1
129 210 1
129 211 1
129 214 1
129 239 1
130 133 1
130 143 1
130 173 1
130 175 1
130 191 1
130 208 1
130 230 1
131 77 1
131 137 1
131 147 1
131 149 1
131 172 1
131 181 1
131 187 1
131 192 1
131 202 1
131 209 1
131 221 1
